Título;Descrição IMDB;Gênero;Nota;Descrição
Uma História;A procura de uma mulher grávida pelo seu marido desaparecido leva-a de Londres para Calcutá, mas todos os que ela pede negam ter alguma vez o conhecido.;Mistério,Suspense;8.1;o procura de um mulher gráver por o seu marido desaparecer levar ela de Londres para Calcutá, mas todo o que ela pedir negar ter algum vez o conhecer.
A Recompensa;Depois de passar 12 anos na prisão por manter a boca fechada, o notório arrombador de cofres, Dom Hemingway, está de volta às ruas de Londres e vai cobrar a dívida.;Comédia,Policial,Drama;6.1;depois de passar 12 ano em o prisão por manter o boca fechar, o notório arrombador de cofre, Dom Hemingway, estar de volta a o rua de Londres e ir cobrar o dívida.
Indiscreta;Uma atriz que desistiu do amor encontra um banqueiro suave e começa um flerte com ele ... mesmo que ele já seja casado.;Comédia,Romance;6.7;um atriz que desistir de o amor encontrar um banqueiro suave e começar um flerte com ele... mesmo que ele já ser casado.
11:14;Os eventos que antecederam às 23h14 acidente de carro, de cinco perspectivas muito diferentes.;Comédia,Policial,Drama;7.1;o evento que anteceder a o 23h14 acidente de carro, de cinco perspectiva muito diferente.
Hababam Sinifi Askerde;Hababam sinifi está indo para o exército.Depois de se formar na escola, é hora do serviço militar.;Comédia;3.2;Hababam sinifi estar ir para o exército. depois de se formar em o escola, ser hora de o serviço militar.
Marcas do Passado;A leitura ameaçadora de um psíquico envia um homem para uma queda.;Drama,Suspense;6.2;o leitura ameaçador de um psíquico enviar um homem para um queda.
O Retorno da Múmia;A múmia de Imhotep continua a desejar imortalidade mas, desta vez, outra força também foi libertada e é ainda mais perigosa que ele, levando Rich e Evie O'Connel a uma batalha para salvar o mundo e resgatar o seu filho.;Ação,Aventura,Fantasia;6.4;o múmia de Imhotep continuar a desejar imortalidade mas, de este vez, outro força também ser libertar e ser ainda mais perigoso que ele, levar Rich e Evie O'Connel a um batalha para salvar o mundo e resgatar o seu filho.
Trilhas;Uma jovem faz uma caminhada de 1.700 milhas pelos desertos da Austrália Ocidental com quatro camelos e seu cão fiel.;Aventura,Biografia,Drama;7.1;um jovem fazer um caminhada de 1.700 milha por o deserto de o Austrália Ocidental com quatro camelo e seu cão fiel.
Garfield: O Filme;Jon Arbuckle compra um segundo animal de estimaçào, um cachorro chamado Odie. No entanto, Odie é abduzido e cabe ao gato de Jon, Garfield, encontrar e resgatar o cào.;Animação,Aventura,Comédia;5.0;Jon Arbuckle compra um segundo animal de estimaçào, um cachorro chamar Odie. em o entanto, Odie ser abduzir e caber a o gato de Jon, Garfield, encontrar e resgatar o cào.
A Vingadora;Uma jovem volta à sua cidade natal com a intenção de matar seu pai abusivo apenas para descobrir que alguém o assassinou no dia anterior. Enquanto ela procura respostas, descobre um legado familiar mais perigoso do que havia imaginado.;Suspense;4.9;um jovem volta a o seu cidade natal com o intenção de matar seu pai abusivo apenas para descobrir que alguém o assassinar em o dia anterior. enquanto ela procurar resposta, descobrir um legado familiar mais perigoso de o que haver imaginar.
Vestida para Casar;Após servir como dama de honra 27 vezes, uma jovem mulher luta com a ideia de ficar ao lado de sua irmã enquanto ela vai se casar com o homem pelo qual ela está secretamente apaixonada.;Comédia,Romance;6.1;após servir como dama de honra 27 vez, um jovem mulher lutar com o ideia de ficar a o lado de seu irmã enquanto ela ir se casar com o homem por o qual ela estar secretamente apaixonado.
Sarfarosh;Depois que seu irmão é morto e o pai severamente ferido por terroristas, um jovem estudante de medicina deixa seus estudos para se juntar ao Serviço Policial Indiano para acabar com os terroristas.;Ação,Drama,Suspense;8.1;depois que seu irmão ser morrer e o pai severamente ferir por terrorista, um jovem estudante de medicina deixar seu estudo para se juntar a o Serviço Policial Indiano para acabar com o terrorista.
A Sombra de um Homem;Após um incidente trágico, um homem entra em um mundo preenchido por bandidos e viciados em velocidade.;Policial,Drama,Mistério;7.0;após um incidente trágico, um homem entrar em um mundo preencher por bandido e viciar em velocidade.
Um Casal do Barulho;Um casal que está casado há três anos fica chocado ao saber que seu casamento não é legalmente válido.;Comédia,Romance;6.3;um casal que estar casado haver três ano ficar chocado a o saber que seu casamento não ser legalmente válido.
Jogo Bruto;Um ex-agente do FBI que virou xerife de uma pequena cidade, concorda em ajudar o chefe do FBI a se infiltrar na máfia de Chicago, quando o filho do chefe do FBI é morto por eles.;Ação,Policial,Suspense;5.5;um ex-agente de o FBI que virar xerife de um pequeno cidade, concordar em ajudar o chefe de o FBI a se infiltrar em o máfia de Chicago, quando o filho de o chefe de o FBI ser morrer por eles.
Um Coração no Inverno;A bela virtuosa Camille tem duas obsessões: a música de Ravel e uma amiga de seu marido que faz violinos. Mas seu coração parece tão frio quanto seu jogo é apaixonado.;Drama,Musical,Romance;7.6;o belo virtuosa Camille ter dois obsessão : o música de Ravel e um amiga de seu marido que fazer violino. mas seu coração parecer tão frio quanto seu jogo ser apaixonar.
Breaker Morant;Três tenentes australianos são julgados por executarem prisioneiros para desviar a atenção dos crimes de guerra cometidos por seus oficiais superiores.;Drama,História,Guerra;7.8;três tenente australiano ser julgar por executar prisioneiro para desviar o atenção de o crime de guerra cometer por seu oficial alto.
Tubarão;Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.;Aventura,Suspense;8.1;quando um tubar desencader caos em um praia, um xerife, um biologista e um marinheiro dar caça a o animal.
Santo Homem;Eddie Murphy estrela como um evangelista de televisão exagerado que encontra uma maneira de transformar as compras em casa em uma experiência religiosa e leva a América pela tempestade.;Comédia,Drama;4.9;Eddie Murphy estrela como um evangelista de televisão exagerar que encontrar um maneira de transformar o compra em casa em um experiência religioso e levar o América por o tempestade.
Divinos Segredos;A dramaturga de Nova York, Sidda Lee Walker, está longe de sua cidade-natal, Louisiana, mas um abismo emocional ainda maior a separa de sua mãe, Vivi.;Drama;6.0;o dramaturga de Nova York, Sidda Lee Walker, estar longe de seu cidade-natal, Louisiana, mas um abismo emocional ainda grande ela separar de seu mãe, Vivi.
O Demolidor;Um determinado oficial de policial com métodos pouco ortodoxos é despertado da animação suspensa em uma crio-prisão para perseguir seu ultra-violento arquiinimigo que está à solta em uma sociedade não-violenta no futuro.;Ação,Ficção científica,Suspense;6.7;um determinar oficial de policial com método pouco ortodoxo ser despertar de o animação suspender em um crio-prisão para perseguir seu ultra-violento arquiinimigo que estar a o solta em um sociedade não-violento em o futuro.
Peepli [Live];A ameaça de um agricultor empobrecida de acabar com sua vida convida a atenção de políticos e mídia.;Comédia,Drama;7.4;o ameaça de um agricultor empobrecer de acabar com seu vida conver o atenção de político e mídia.
Na Noite do Crime;Frank Johnson se torna uma testemunha ocular de um assassinato.Ele é perseguido em São Francisco por sua esposa, a polícia e o assassino.;Policial,Drama,Filme noir;7.2;Frank Johnson se tornar um testemunha ocular de um assassinato. ele ser perseguir em São Francisco por seu esposo, o polícia e o assassino.
Rio, Eu Te Amo;A terceira parte da série Cidades do Amor (Paris, je t'aime / New York, I Love You / Rio, Eu Te Amo), este longa-metragem coletivo é composto de 10 histórias de romance ambientadas no Rio de Janeiro, Brasil.;Comédia,Drama,Fantasia;5.2;o terceiro parte de o série Cidades de o Amor ( Paris, je t'aime / New York, I Love You / Rio, eu Te Amo ), este longa-metragem coletivo ser compor de 10 história de romance ambientar em o Rio de Janeiro, Brasil.
O Nono Mandamento;Um arquiteto suburbano ama sua esposa, mas está entediado com seu casamento e com seu trabalho, então ele aceita a beleza negligenciada e casada que mora na rua.;Drama,Romance;7.1;um arquiteto suburbano amar seu esposo, mas estar entediado com seu casamento e com seu trabalho, então ele aceitar o beleza negligenciar e casado que morar em o rua.
O Confronto;"Um agente desonesto do Multiverso embarca numa busca para encontrar versões alternativas de si mesmo, e fica mais forte a cada morte. Só a última versão de si mesmo, um policial, pode parar sua cruzada antes que ele se torne ""O Escolhido"".";Ação,Ficção científica,Suspense;5.9;um agente desonesto de o Multiverso embarcar em um busca para encontrar versão alternativo de si mesmo, e ficar mais forte a cada morte. só o último versão de si mesmo, um policial, poder parar seu cruzar antes que ele se tornar « o Escolhido «.
Anand;A história de um homem terminalmente doente que deseja viver a vida ao máximo antes que o inevitável ocorra, conforme contado por seu melhor amigo.;Drama,Musical;8.1;o história de um homem terminalmente doente que desejar viver o vida a o máximo antes que o inevitável ocorrer, conforme contar por seu bom amigo.
Joe e as Baratas;Um homem acaba de se mudar para Nova York e descobre que deve dividir seu apartamento em ruínas com um par de milhares de baratas que cantam e dançam.;Comédia,Fantasia,Musical;5.5;um homem acabar de se mudar para Nova York e descobrir que dever dividir seu apartamento em ruína com um par de milhar de barata que cantar e dançar.
Wazir;Um policial aflito e um professor estão unidos por uma reviravolta peculiar do destino, como parte de uma conspiração que obscureceu suas vidas.;Ação,Policial,Drama;7.1;um policial aflito e um professor estar unido por um reviravolta peculiar de o destino, como parte de um conspiração que obscurecer seu vida.
Pollock;Um filme sobre a vida e a carreira do pintor americano Jackson Pollock.;Biografia,Drama;7.0;um filme sobre o vida e o carreira de o pintor americano Jackson Pollock.
O Inferno;El Benny é deportado dos Estados Unidos e retorna a um México devastado pela guerra das drogas. Ele também se une e começa a subir na hierarquia, encontrando uma vida próspera cheia de dinheiro, mulheres, violência e diversão.;Ação,Comédia,Policial;7.7;El Benny ser deportar de o Estados Unidos e retornar a um México devastar por o guerra de o droga. ele também se unir e começar a subir em o hierarquia, encontrar um vida próspero cheio de dinheiro, mulher, violência e diversão.
Paz, Amor e Muito Mais;Uma advogada tensa da cidade de Nova York leva seus dois adolescentes à casa da fazenda da mãe hippie, no norte do estado, para férias em família.;Comédia,Drama,Musical;5.8;um advogado tenso de o cidade de Nova York levar seu dois adolescente a o casa de o fazenda de o mãe hippie, em o norte de o estado, para férias em família.
Um Homem Sério;Larry Gopnik, professor de física, vê sua vida desmoronar devido a vários incidentes repentinos. Embora busque significado e respostas em meio a sua turbulência, parece continuar afundando.;Comédia,Drama;7.0;Larry Gopnik, professor de física, ver seu vida desmoronar devido a vários incidente repentino. embora buscar significado e resposta em meio o seu turbulência, parecer continuar afundar.
O Fantasma Apaixonado;Em 1900, uma jovem viúva descobre que sua casa à beira-mar é assombrada e forma uma relação única com o fantasma.;Comédia,Drama,Fantasia;7.8;em 1900, um jovem viúva descobrir que seu casa a o beira-mar ser assombrar e forma um relação único com o fantasma.
As Mulheres de Adam;Uma garçonete se apaixona por um cliente bonito que a seduz, suas duas irmãs, seu irmão e a namorada de seu irmão.;Comédia,Romance;5.8;um garçonete se apaixonar por um cliente bonito que ela seduzir, seu dois irmã, seu irmão e o namorada de seu irmão.
O Planeta dos Macacos;Em 2019, um astronauta militar pousa à força em um planeta misterioso, habitado por macacos evoluídos que dominam a língua.;Ação,Aventura,Ficção científica;5.7;em 2019, um astronauta militar pousar a o força em um planeta misterioso, habitar por macaco evoluir que dominar o língua.
O Início do Fim;Este filme reencena o Projeto Manhattan, um projeto de guerra secreto, conduzido no Novo México, onde as primeiras bombas atômicas foram projetadas e construídas.;Biografia,Drama,História;6.5;este filme reencenar o Projeto Manhattan, um projeto de guerra secreto, conduzir em o Novo México, onde o primeiro bomba atômico ser projetar e construir.
Singh Is Bliing;Um jovem preguiçoso que não assume qualquer responsabilidade é enviado para trabalhar com o amigo de seu pai em Goa, onde ele conhece uma mulher que tem problemas próprios.;Ação,Comédia,Romance;5.0;um jovem preguiçoso que não assumir qualquer responsabilidade ser enviar para trabalhar com o amigo de seu pai em Goa, onde ele conhecer um mulher que ter problema próprio.
O Homem De Londres;Depois de testemunhar um crime durante seu turno noturno como interruptores ferroviários perto das docas, um homem encontra uma pasta cheia de dinheiro.Enquanto ele e sua família intensificam seus padrões de vida, outros começam a procurar o caso desaparecido.;Policial,Drama,Mistério;7.0;depois de testemunhar um crime durante seu turno noturno como interruptor ferroviário perto de o doca, um homem encontrar um pasta cheio de dinheiro. enquanto ele e seu família intensificar seu padrão de vida, outro começar a procurar o caso desaparecer.
A Ilha da Imaginação;Uma jovem mora em uma ilha isolada com seu pai cientista e se comunica com um autor recluso do romance que está lendo.;Aventura,Comédia,Drama;6.0;um jovem morar em um ilha isolar com seu pai cientista e se comunicar com um autor recluso de o romance que estar ler.
A Assistente;Um olhar ardente sobre um dia na vida de um assistente de um executivo poderoso. À medida que Jane segue sua rotina diária, ela se torna cada vez mais consciente do abuso insidioso que ameaça todos os aspectos de sua posição.;Drama;6.4;um olhar ardente sobre um dia em o vida de um assistente de um executivo poderoso. à medida que Jane seguir seu rotina diário, ela se tornar cada vez mais consciente de o abuso insidioso que ameaçar todo o aspecto de seu posição.
A Room for Romeo Brass;"Depois de parar 12 anos.Romeu e Gavin de serem espancados, Morell os leva para casa e conhece a irmã adulta de Romeu e se apaixona.Os meninos o ""ajudam"" em sua busca.";Comédia,Drama;7.6;depois de parar 12 ano. Romeu e Gavin de ser espancar, Morell o levar para casa e conhecer o irmã adulto de Romeu e se apaixonar. o menino o « ajudar « em seu busca.
Mikey e Nicky;Nicky está fugindo da multidão, e ele se vira para o velho amigo Mikey em busca de ajuda.;Policial,Drama;7.4;Nicky estar fugir de o multidão, e ele se ver para o velho amigo Mikey em busca de ajuda.
Espadachim Bastardo;"O Hsu Shao-Chiang é um verdadeiro ""Spider-Swordsman""-mestre do ""estilo de seda""-nesse fantasmagórico de artes marciais que realmente merece a descrição: ""inesquecível"".";Ação,Mistério;7.0;"o Hsu Shao-Chiang ser um verdadeiro « Spider-Swordsman""-mestre de o « estilo de seda"" -m esse fantasmagórico de arte marcial que realmente merecer o descrição : « inesquecível «."
As Senhoritas de Wilko;Definido no final dos anos 20.Um jovem de trinta anos, que dirige uma pequena fábrica, desmaia o funeral de um amigo próximo.Ele decide ir para casa com sua tia e tio por um tempo, mas se envolve com uma família de cinco mulheres que estavam apaixonadas por ele ao mesmo tempo, embora ele aparentemente tivesse amado apenas um, que, desconhecido por ele, morreu desde entãosua partida.As mulheres são principalmente ...;Drama,Romance;7.4;definir em o final de o ano 20. um jovem de trinta ano, que dirigir um pequeno fábrica, desmaiar o funeral de um amigo próximo. ele decidir ir para casa com seu tia e tio por um tempo, mas se envolver com um família de cinco mulher que estar apaixonado por ele a o mesmo tempo, embora ele aparentemente ter amar apenas um, que, desconhecer por ele, morrer desde entãosuo partida. o mulher ser principalmente...
Phenomena;Uma jovem, com uma incrível capacidade de se comunicar com insetos, é transferida para um internato na Suíça, onde sua capacidade incomum pode ajudar a solucionar uma série de assassinatos.;Policial,Terror,Mistério;6.7;um jovem, com um incrível capacidade de se comunicar com inseto, ser transferir para um internato em o Suíça, onde seu capacidade incomum poder ajudar a solucionar um série de assassinato.
Quando o Amor Acontece;Birdee Calvert deve escolher entre sua moral e seu coração depois que seu marido se divorciou dela e um jovem encantador, que sua filha desaprova, volta à sua vida.;Drama,Romance;6.0;Birdee Calvert dever escolher entre seu moral e seu coração depois que seu marido se divorciar de ela e um jovem encantador, que seu filha desaprovar, voltar a o seu vida.
Sexta-Feira 13;Um ladrão persegue e assasina a um grupo de conselheiros num acampamento onde morreu uma criança anos atrais.;Terror,Mistério,Suspense;6.4;um ladrão perseguir e assasinar a um grupo de conselheiro em um acampamento onde morrer um criança ano atrais.
Lantana;Os relacionamentos de quatro casais se desfazem após a descoberta do corpo de uma jovem no mato.;Drama,Mistério,Romance;7.2;o relacionamento de quatro casal se desfazer após o descoberta de o corpo de um jovem em o mato.
Gnomeu e Julieta;Separados por uma cerca de jardim e uma briga, são gnomos azuis de um lado e gnomos vermelhos do outro.Isso não impede o Gnomeo Blue e o Red Juliet de se apaixonarem um pelo outro.Eles têm um futuro juntos?;Animação,Aventura,Comédia;5.9;separar por um cerca de jardim e um briga, ser gnomo azul de um lado e gnomo vermelho de o outro. isso não impedir o Gnomeo Blue e o Red Juliet de se apaixonar um por o outro. eles ter um futuro junto ?
O Mercador de Veneza;Em Veneza do século XVI, quando um comerciante não pode pagar um grande empréstimo de um judeu para um amigo com ambições românticas, o amargamente vingativo credor exige, ao invés disso, um pagamento horrível.;Drama,Romance;7.0;em Veneza de o século xvi, quando um comerciante não poder pagar um grande empréstimo de um judeu para um amigo com ambição romântico, o amargamente vingativo credor exigir, a o invés de isso, um pagamento horrível.
Ghilli;Velu, um aspirante a jogador de Kabaddi, vai a Madurai para participar de uma partida regional, onde resgata Dhanalakshmi de Muthupandi, um homem poderoso que se casou com a garota contra sua vontade.;Ação,Drama,Romance;8.1;Velu, um aspirante a jogador de Kabaddi, ir a Madurai para participar de um partida regional, onde resgatar Dhanalakshmi de Muthupandi, um homem poderoso que se casar com o garota contra seu vontade.
Água Fria;Quando a garota de um casal adolescente rebelde descobre que está sendo enviada, ambos acreditam que escapar da ordem rígida os sufocando é a única maneira de ser livre.Mas é?;Drama;7.0;quando o garota de um casal adolescente rebelde descobrir que estar ser enviar, ambos acreditar que escapar de o ordem rígidar o sufocar ser o único maneira de ser livre. mas ser ?
Livro de Sangue;"Um especialista paranormal descobre uma casa no cruzamento das chamadas ""estradas"" que transportam almas para a vida após a morte.";Drama,Terror,Mistério;5.2;um especialista paranormal descobrir um casa em o cruzamento de o chamado « estrada « que transportar alma para o vida após o morte.
Trading Paint;O veterano piloto de carros de corrida Sam Munroe e seu filho, um colega de uma pequena cidade superou conflitos familiares e profissionais, equilibrando competição, ego, ressentimento e um inimigo de corrida para se fortalecer do outro lado.;Ação,Drama,Esportes;4.4;o veterano piloto de carro de corrida Sam Munroe e seu filho, um colega de um pequeno cidade superar conflito familiar e profissional, equilibrar competição, ego, ressentimento e um inimigo de corrida para se fortalecer de o outro lado.
Busca Sangrenta;Um jovem policial deve sobreviver ao dever de seu primeiro dia em uma pequena cidade do campo.;Suspense,Faroeste;6.3;um jovem policial dever sobreviver a o dever de seu primeiro dia em um pequeno cidade de o campo.
Robôs;Em um mundo de robôs, um jovem inventor idealista viaja para a cidade para se juntar à empresa de sua inspiração, apenas para se encontrar opondo à sua sinistra nova administração.;Animação,Aventura,Comédia;6.4;em um mundo de robô, um jovem inventor idealista viajar para o cidade para se juntar a o empresa de seu inspiração, apenas para se encontrar opor a o seu sinistra novo administração.
Amor de Perdição;A terceira parte da tetralogia de Oliveira é um retrato brilhante e devastador de jovens amantes, tragicamente separados por uma risca amarga entre suas famílias aristocráticas.No amor condenado, Oliveira testou sua crença em uma fusão criativa de tradições narrativas teatrais, literárias e cinematográficas.Sua abordagem radical à adaptação captura a linguagem multicamada ...;Drama;7.8;o terceiro parte de o tetralogia de Oliveira ser um retrato brilhante e devastador de jovem amante, tragicamente separar por um risca amarga entre seu família aristocrático. em o amor condenar, Oliveira testar seu crença em um fusão criativo de tradição narrativa teatral, literário e cinematográfico. seu abordagem radical a o adaptação captura o linguagem multicamar...
Sangue Selvagem;Recém -saído do exército, Hazel Motes tenta abrir a primeira igreja sem Cristo na pequena cidade de Taulkham.;Comédia,Drama;6.9;recém -sair de o exército, Hazel Motes tentar abrir o primeiro igreja sem Cristo em o pequeno cidade de Taulkham.
Bom Comportamento;Depois que um assalto a banco fracassa, este deixa seu irmão mais novo na prisão, Connie Nikas embarca em uma odisseia distorcida pelo submundo de Nova York para tirar seu irmão Nick da cadeia.;Policial,Drama,Suspense;7.3;depois que um assalto a banco fracassar, este deixar seu irmão mais novo em o prisão, Connie Nikas embarcar em um odisseia distorcer por o submundo de Nova York para tirar seu irmão Nick de o cadeia.
Apenas Sexo;Duas mulheres de sucesso, cansadas de namoro e relacionamentos, decidem manter dois jovens em sua casa na piscina para fins estritamente sexuais.;Comédia,Drama,Romance;6.2;dois mulher de sucesso, cansar de namoro e relacionamento, decidir manter dois jovem em seu casa em o piscina para fim estritamente sexual.
Falcão Negro em Perigo;Vários soldados de elite americanos chegam à Somália para capturar dois dos tenentes de um senhor da guerra. Eles estão envolvidos em uma batalha desesperada contra uma força de somalis fortemente armados.;Ação,Drama,História;7.7;vários soldado de elite americano chegar a o Somália para capturar dois de o tenente de um senhor de o guerra. eles estar envolver em um batalha desesperar contra um força de somali fortemente armar.
Headhunters;Um caça-talentos realizado arrisca tudo para obter um quadro valioso de propriedade de um ex-mercenário.;Ação,Policial,Suspense;7.5;um caça-talentos realizar arriscar tudo para obter um quadro valioso de propriedade de um ex-mercenário.
Eles Não Envelhecerão;A Primeira Guerra Mundial apresentada com imagens nunca antes vistas para comemorar o centenário do fim da guerra.;Documentário,História,Guerra;8.2;o Primeira Guerra Mundial apresentar com imagem nunca antes vestir para comemorar o centenário de o fim de o guerra.
A Face do Outro;Um empresário com um rosto desfigurado obtém uma máscara realista de seu médico, mas a máscara começa a alterar sua personalidade.;Drama,Terror,Ficção científica;7.9;um empresário com um rosto desfigurar obter um máscara realista de seu médico, mas o máscara começar a alterar seu personalidade.
Uta;Como um jovem houseboy fiel se dedica totalmente ao seu dever espiritual, seu professor planeja entregar a propriedade da montanha de seu avô aos corretores de imóveis para fins lucrativos.;Drama;7.0;como um jovem houseboy fiel se dedicar totalmente a o seu dever espiritual, seu professor planejar entregar o propriedade de o montanha de seu avô a o corretor de imóvel para fim lucrativo.
Do Mundo Nada se Leva;Um homem de uma família rica se compromete com uma mulher de uma família atenciosa, mas decididamente excêntrica.;Comédia,Drama,Romance;7.8;um homem de um família rico se comprometer com um mulher de um família atencioso, mas decididamente excêntrico.
Confissões;Um thriller psicológico sobre uma mãe enlutada que se torna uma assassina de sangue-frio com um plano mestre para vingar-se dos responsáveis pela morte de sua filha.;Drama,Suspense;7.7;um thriller psicológico sobre um mãe enlutar que se tornar um assassino de sangue-frio com um plano mestre para vingar se de o responsável por o morte de seu filha.
Touro Indomável;A vida do boxeador Jake LaMotta, que vê como a violência e temperamento que o levam ao topo do ringue, destroem sua vida fora dele.;Biografia,Drama,Esportes;8.2;o vida de o boxeador Jake LaMotta, que ver como o violência e temperamento que o levar a o topo de o ringue, destruir seu vida fora de ele.
Traindo o Inimigo;Um policial uniformizado é recrutado por um agente antidrogas para se infiltrar em uma quadrilha de tráfico de drogas que busca expandir suas operações.;Ação,Policial,Suspense;6.9;um policial uniformizar ser recrutar por um agente antidroga para se infiltrar em um quadrilha de tráfico de droga que buscar expandir seu operação.
O Destino de um Homem;Um soldado soviético, Andrei Sokolov, foi separado com sua família pela Segunda Guerra Mundial.Sofrendo no cativeiro nazista, ele sonha em encontrar seus queridos após a vitória.Mas o destino cruel acabou de outra forma.;Drama,Guerra;8.0;um soldado soviético, Andrei Sokolov, ser separar com seu família por o Segunda Guerra Mundial. sofrer em o cativeiro nazista, ele sonhar em encontrar seu querido após o vitória. mas o destino cruel acabar de outro forma.
A Chegada do Outono;Mamãe solteira (pai de crianças morta) do país com o menino da 6ª série chega a Tóquio, deixa o garoto para morar com a família de seu tio - esposa, homem, adolescente feminino, administrar uma verde -grão em dificuldades - e vive/ trabalha na pousada local.Ele fica intimidado/ brigas com meninos locais, vai para os banhos, joga basquete, é amigo de seu primo masculino e se torna amigável com o GI da 4ª série ...;Drama;7.4;mamãe solteiro ( pai de criança matar ) de o país com o menino de o 6ª série chegar a Tóquio, deixar o garoto para morar com o família de seu tio - esposo, homem, adolescente feminino, administrar um verde -grão em dificuldade - e vive/ trabalhar em o pousada local. ele ficar intimidado / briga com menino local, ir para o banho, jogar basquete, ser amigo de seu primo masculino e se tornar amigável com o GI de o 4ª série...
O Mar de Árvores;Um americano suicida faz amizade com um japonês perdido em uma floresta perto do Monte Fuji, mas a amizade os faz procurar uma saída.;Drama,Fantasia,Mistério;6.1;um americano suicida fazer amizade com um japonês perder em um floresta perto de o Monte Fuji, mas o amizade o fazer procurar um saída.
Fora de Casa!;Um cartunista desempregado volta a morar com os pais e com seu irmão mais novo, Freddy. Quando seus pais exigem que ele saia de casa, ele começa a espalhar boatos de que seu pai está abusando sexualmente de Freddy.;Comédia;4.6;um cartunista desempregado voltar a morar com o pai e com seu irmão mais novo, Freddy. quando seu pai exigir que ele saia de casa, ele começar a espalhar boato de que seu pai estar abusar sexualmente de Freddy.
Procurando Sugar Man;Um cantor descobre depois de 20 anos ser um ícone e herói no outro hemisfério do planeta.;Documentário,Biografia,Musical;8.2;um cantor descobrir depois de 20 ano ser um ícone e herói em o outro hemisfério de o planeta.
Shrek 2;Os pais da princesa Fiona convidam ela e Shrek para jantar para celebrar seu casamento, mas eles não sabem que os recém-casados são ogros;Animação,Aventura,Comédia;7.3;o pai de o princesa Fiona convidar ela e Shrek para jantar para celebrar seu casamento, mas eles não saber que o recém-casado ser ogro
O Melhor Pai do Mundo;Quando o corpo de seu filho é encontrado em um acidente humilhante, um professor solitário do ensino médio atrai inadvertidamente uma quantidade esmagadora de atenção da comunidade e da mídia depois de encobrir a verdade com uma nota falsa de suicídio.;Comédia,Drama;6.9;quando o corpo de seu filho ser encontrar em um acidente humilhante, um professor solitário de o ensino médio atrair inadvertidamente um quantidade esmagador de atenção de o comunidade e de o mídia depois de encobrir o verdade com um nota falso de suicídio.
O Terraço;Durante um jantar em um terraço romano, as vidas e experiências de vários personagens se entrelaçam.;Comédia,Drama;7.1;durante um jantar em um terraço romano, o vida e experiência de vários personagem se entrelaçar.
Psicose 2;Depois de vinte e dois anos internado em um sanatório, Norman Bates é considerado apto para se reintegrar à sociedade.;Policial,Terror,Mistério;6.5;depois de vinte e dois ano internar em um sanatório, Norman Bates ser considerar apto para se reintegrar a o sociedade.
Madre Joana dos Anjos;Um padre é enviado para uma pequena paróquia no campo polonês, que se acredita estar sob posse demoníaca e lá ele encontra suas próprias tentações aguardando.;Drama,Terror,Mistério;7.6;um padre ser enviar para um pequeno paróquia em o campo polonês, que se acreditar estar sob posse demoníaca e lá ele encontrar seu próprio tentação aguardar.
A Irmã da Sua Irmã;Iris convida seu amigo Jack para passar um tempo na ilha de sua família, depois que o irmão dele morre. Na cabana remota, o encontro inebriado de Jack com Hannah, a irmã de Iris, inicia uma série de revelações nos próximos dias.;Comédia,Drama,Romance;6.7;Iris conver seu amigo Jack para passar um tempo em o ilha de seu família, depois que o irmão de ele morrer. em o cabana remoto, o encontro inebriar de Jack com Hannah, o irmã de Iris, iniciar um série de revelação em o próximo dia.
Violência e Terror;A tripulação noturna de um supermercado local se vê perseguida e cortada por um maníaco misterioso.;Terror,Mistério;6.1;o tripulação noturno de um supermercado local se ver perseguir e cortar por um maníaco misterioso.
Acorrentados;Bob (Vincent D'Onofrio) é um serial killer que vigia suas presas ao redor da cidade junto ao seu protegido Tim (Eamon Farren), que precisa fazer uma escolha de vida ou morte: seguir os passos de Bob ou se livrar dele.;Policial,Drama,Terror;6.4;Bob ( Vincent D'Onofrio ) ser um serial killer que vigear seu prender a o redor de o cidade junto a o seu protegido Tim ( Eamon Farren ), que precisar fazer um escolha de vida ou morte : seguir o passo de Bob ou se livrar de ele.
Os Heróis de Telemark;A resistência norueguesa tenta impedir os esforços alemães para produzir um componente da bomba atômica durante a Segunda Guerra Mundial.;Ação,Drama,História;6.5;o resistência norueguês tentar impedir o esforço alemão para produzir um componente de o bomba atômico durante o Segunda Guerra Mundial.
Kaho Naa... Pyaar Hai;Uma jovem encontra o doppelganger de seu namorado falecido e agora tem a chance de encontrar as pessoas que o mataram.;Ação,Musical,Romance;6.9;um jovem encontrar o doppelganger de seu namorado falecer e agora ter o chance de encontrar o pessoa que o matar.
Tá Dando Onda;Uma olhada nos bastidores do Campeonato Mundial de Surf anual do Pinguim e seu mais recente participante, Cody Maverick.;Animação,Aventura,Comédia;6.7;um olhada em o bastidor de o Campeonato Mundial de Surf anual de o pinguim e seu mais recente participante, Cody Maverick.
