Título;Descrição;Gênero;Nota
Loucuras de Verão;Dois graduados do ensino médio passam uma última noite andando na pista com seus amigos antes de ir para a faculdade.;Comédia,Drama;7.4
Beynelmilel;É a Turquia dos anos 80, músicos locais de Adiyaman são contratados pelos militares e treinados para receber um dos generais fortes do regime de golpe.;Comédia,Drama,Musical;7.2
Órfãos da Guerra;Sobre o jovem jornalista britânico, George Hogg, que com a assistência de uma enfermeira australiana corajosa, salva um grupo de crianças órfãs durante a ocupação japonesa da China em 1937.;Drama,Guerra;7.0
Tudo por uma Herança;Para herdar a fortuna colossal de sua sogra, um viciado em jogo de vida duro deve mudar seus caminhos prejudiciais antes que eles obtenham o melhor dele.;Comédia;6.2
Silêncio;No século 17, dois padres jesuítas portugueses viajaram para o Japão em uma tentativa de localizar seu mentor, que, segundo rumores, havia cometido apostasia e propagado o catolicismo.;Drama,História;7.1
A Valsa do Imperador;Um vendedor de gramofone americano impetuoso tenta obter o endosso do Imperador Franz Joseph na Áustria da virada do século.;Comédia,Musical,Romance;6.1
A Voz do Coração;O novo professor de um colégio interno de rapazes, em funcionamento severo, trabalha para afetar positivamente a vida dos alunos através da música.;Comédia,Drama,Musical;7.8
O Pestinha 2;O pior menino do mundo faz uma descoberta impensável: há outro menino ainda pior do que ele, e é uma menina.;Comédia,Família;4.8
O Enigma de Andrômeda;Uma equipe de cientistas de primeiro nível trabalha em um laboratório secreto de última geração para descobrir o que matou os cidadãos de uma pequena cidade e aprender como este contágio mortal pode ser interrompido.;Mistério,Ficção científica,Suspense;7.2
Himalaia;A última posição de um chefe de envelhecimento, lições para o novo e a educação de um jovem chefe, jogou contra a natureza severa no Dolpo do Nepal.Quando seu filho morre retornando dos lagos salgados do Tibete, Tinle culpa Karma, o amigo de seu filho, se recusa a dar a Karma sua bênção como o novo chefe e organiza uma caravana rival a levar o sal para diminuir o nepal para negociar com grãos.Ele, um f ...;Drama;7.5
O Fantasma do Paraíso;Um compositor desfigurado vende sua alma para a mulher que ele ama para que ela possa interpretar sua música. No entanto, um magnata dos discos o trai e rouba sua música para abrir seu palácio de rock, O Paraíso.;Comédia,Drama,Fantasia;7.3
Bitter Lake;Um documentário experimental que explora o relacionamento da Arábia Saudita com os EUA e o papel que isso desempenhou na guerra no Afeganistão.;Documentário;8.1
Melvin e Howard;A história do infeliz Melvin E. Dummar, que afirmava ter recebido um testamento que o nomeia herdeiro da fortuna Howard Hughes.;Comédia,Drama;6.8
A Baía dos Anjos;Jean é um funcionário de um banco.Seu colega Caron é um jogador e dá a ele o vírus.Nos cassinos, Jean conhece Jackie.O caso de amor deles seguirá a sorte na roleta.;Drama,Romance;7.3
Túmulo dos Vagalumes;Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.;Animação,Drama,Guerra;8.5
Nossa Hospitalidade;Um homem retorna à sua propriedade dos Apalaches.Na viagem, ele se apaixona por uma jovem.O único problema é que sua família prometeu matar todos os membros de sua família.;Comédia,Romance,Suspense;7.8
A Casa da Noite Eterna;Um físico, sua esposa e dois meios são contratados para investigar a casa de Belasco, onde 27 convidados morreram inexplicavelmente em 1927, juntamente com a maioria de uma equipe de investigadores paranormais enviados no início dos anos 50.;Terror;6.7
Refém do Espírito;Depois que Marnie Watson mata seu marido abusivo em legítima defesa, ela é condenada a prisão domiciliar ... apenas para descobrir que a casa é possuída pelo espírito enfurecido e violento de seu marido morto.;Terror,Mistério,Suspense;5.4
O Bandido;Baran, o bandido, libertado da prisão após 35 anos, busca vingança e sua amante.;Policial,Drama,Suspense;8.1
O Sósia de Bablu;Para evitar a lei, um Don cruel tenta matar sua aparência, um chef e tenta tomar seu lugar.;Ação,Comédia,Policial;5.5
Geração Proteus;Um cientista cria Proteus-um super computador orgânico com inteligência artificial que se torna obcecada por seres humanos e, em particular, a esposa dos criadores.;Terror,Ficção científica;6.3
Busca Implacável;Um agente aposentado da CIA viaja pela Europa e confia em suas antigas habilidades para salvar sua filha, que foi seqüestrada durante uma viagem a Paris.;Ação,Policial,Suspense;7.8
Portal do Inferno;Um samurai persegue uma senhora casada.;Drama,História;7.2
No manches Frida 2;Zequi tenta recuperar o amor de Lucy, trazendo a equipe da escola para a vitória.;Comédia;4.2
Júnior;Como parte de um projeto de pesquisa de fertilidade, um cientista do sexo masculino concorda em ter uma gravidez em seu próprio corpo.;Comédia,Romance,Ficção científica;4.7
Progeny - O Intruso;Uma mulher desavisada é impregnada por estrangeiros que estão experimentando a população humana.;Terror,Ficção científica,Suspense;4.8
56 Up;O diretor Michael Apted revisita o mesmo grupo de adultos nascidos britânicos após uma espera de 7 anos.Os sujeitos são entrevistados quanto às mudanças que ocorreram em suas vidas nos últimos sete anos.;Documentário;7.9
Chamas de Verão;"Em uma vila francesa, Manou é um madeireiro italiano, viril, com uma ampla risada.Ele não pode dizer não aos convites sexuais das mulheres, e os aldeões ciumentos o culpam por incêndios recentes e uma inundação.Ele é inocente, o culpado é ""Mademoiselle"", a Town Schoolmarm, uma chegada recente admirada por todos, mas sexualmente reprimida e obcecada por Manou.Ela atende o primeiro incêndio acidentalmente um ...";Drama;7.2
Garota Exemplar;Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.;Drama,Mistério,Suspense;8.1
Presente de Grego;A vida da jovem executiva J. C. fica turbulenta quando ela herda o bebê de um parente distante.;Comédia,Drama,Romance;6.2
Jimmy Bolha;Bubble Boy esteve em uma bolha toda sua vida porque ele não tem sistema imunológico. Uma garota loira faz amizade com BB. Seu namorado propõe casamento e BB decide viajar para as Cataratas do Niágara para interromper o casamento.;Aventura,Comédia,Romance;5.6
Pistoleiro sem Destino;Harry volta para casa para sua esposa e fazenda depois de se afastar com seu amigo Arch e tem que tomar uma decisão difícil sobre suas lealdades.;Drama,Faroeste;7.0
Homem de Ferro;Depois de ficar preso em uma caverna afegã, o engenheiro multimilionário Tony Stark cria uma armadura única para combater o mal.;Ação,Aventura,Ficção científica;7.9
Onna no mizûmi;Uma mulher casada deixa seu amante tirar fotos nuas dela.As fotos acabam em posse de um homem que começa a chantagear o casal.;Drama;7.4
Fama;Versão atualizada do musical Fame (1980), centrado nos alunos da New York Academy of Performing Arts.;Comédia,Drama,Musical;5.0
Excesso de Bagagem;Um adolescente malcriado finge seu próprio seqüestro, mas é sequestrado por engano de verdade.;Ação,Comédia,Policial;5.3
Heavy Metal 2000;Depois de sobreviver a uma invasão em seu pacífico mundo natal, uma bela vingadora tem que impedir um poderoso psicopata de ganhar a imortalidade e resgatar sua irmã sequestrada.;Animação,Ação,Aventura;5.3
Murder à la Mod;A jovem ingênua Karen quer ajudar seu namorado amador-filma em dificuldades, Christopher, levantar dinheiro suficiente para que ele possa se divorciar de sua esposa.Enquanto isso, Jolly Psycho Prankster Otto persegue o prédio onde Christopher está filmando um filme adulto de baixa qualidade para se manter à tona.;Comédia,Policial,Mistério;5.4
28 Dias;Uma colunista do jornal de uma grande cidade é forçada a entrar em um centro de reabilitação de drogas e álcool, depois de arruinar o casamento de sua irmã e bater uma limusine roubada.;Comédia,Drama;6.1
39 Degraus;Um homem em Londres ajuda um agente de contra-espionagem. Mas quando o agente morre e o homem é acusado, ele deve fugir por sua vida e deter uma rede de espiões que tentam roubar informações altamente secretas.;Policial,Mistério,Suspense;7.6
13º Andar;Um informático que executa uma simulação de realidade virtual de 1937 torna-se o principal suspeito quando seu colega e mentor é assassinado.;Mistério,Ficção científica,Suspense;7.0
Uma Rua Chamada Pecado;A perturbada Blanche DuBois se muda com sua irmã em Nova Orleans e é atormentada por seu brutal cunhado.;Drama;7.9
Na Escuridão;Uma dramatização do resgate de um homem de refugiados judeus na cidade polonesa de Lvov ocupada pela Alemanha.;Drama,Guerra;7.3
Guerra e Paz;A aristocracia russa se prepara para a invasão francesa na véspera de 1812.;Drama,História,Romance;8.3
Assalto em Dose Dupla;Um homem se vê envolvido em dois assaltos e precisa proteger uma atendente do caixa, por quem está apaixonado.;Comédia,Policial,Mistério;6.3
Os Donos do Amanhã;Um novo professor de uma turbulenta escola de segundo grau logo acaba entrando em confronto com o líder delinquente de um grupo punk que manda na escola.;Ação,Policial,Drama;6.5
Lobos;Um menino está tentando descobrir a história de sua família e encontra uma cidade de lycans.;Ação,Fantasia,Terror;5.2
Desi Boyz;Dois amigos perdem o emprego e depois se separam amargamente depois de serem expostos como strippers do sexo masculino.;Comédia,Drama,Romance;5.7
A Ilha do Dr. Moreau;Depois de ser resgatado e levado para uma ilha, um homem descobre os habitantes são animais experimentais sendo transformados em humanos de aparência estranha, tudo isso obra de um médico visionário.;Terror,Ficção científica,Suspense;4.5
As Ruínas;Um grupo de amigos cujas férias tranquilas no México se tornam horríveis quando eles, junto com outro turista, embarcam em uma escavação arqueológica remota na selva, onde algo maligno vive entre as ruínas.;Terror;5.9
Bob Esponja: O Filme;Bob Esponja se despede da cidade de Fenda do Biquíni para rastrear a coroa roubada do rei Netuno.;Animação,Aventura,Comédia;7.1
Duma;Uma chita órfã se torna o melhor amigo e animal de estimação de um garoto que mora na África do Sul.;Aventura,Drama,Família;7.2
A Nova Babilônia;No início da revolução industrial, a Comuna de Paris foi fundada em 1871 contra os ricos e os poderosos, e violentamente reprimida pelo exército que permaneceu fiel a uma forma mais domesticada de republicanismo.;Drama,História;7.3
Terror na Antártida;Única policial numa estação de pesquisa na Antártida tem que investigar um crime em meio ao frio e à escuridão total.;Ação,Policial,Mistério;5.5
Cidade Tenebrosa;A liberdade condicional reformada Steve Lacey é pega no meio quando um ex -companheiro de cela ferido o procura para abrigo.;Policial,Drama,Filme noir;7.3
Heróis Imaginários;Os membros de uma família disfuncional reagem de maneira diferente ao suicídio do filho mais velho.;Comédia,Drama;7.1
Sissi, A Imperatriz;A vida de casada da jovem imperatriz enquanto ela tenta se ajustar à no palácio e a uma sogra autoritária.;Drama,História;6.6
Rocketeer;Um jovem piloto tropeça em um protótipo de jetpack que lhe permite tornar-se um herói mascarado de alto vôo.;Ação,Aventura,Família;6.5
Os Impostores;Acusado incorretamente de abusar fisicamente de um colega ator, fome de Thespians Arthur e Maurice se vêem perseguidos pela lei a bordo de um navio de cruzeiro.;Comédia;6.5
O Ataque;Durante uma excursão pela Casa Branca com sua filha, um policial do Capitólio entra em ação para salvar seu filho e proteger o presidente de um grupo fortemente armado de invasores paramilitares.;Ação,Drama,Suspense;6.3
Tráfico de Órgãos;Um casal vai a um comprimento perigoso para encontrar um doador de pulmão para a filha.;Drama,Suspense;6.6
Almas Maculadas;História de amizade entre um jornalista excêntrico e um piloto temerário de Barnstorming.;Ação,Aventura,Drama;7.1
Loucos de Paixão;A luxúria se transforma em amar por uma mulher de 40 anos e uma Yuppie Adman de 20 anos com pouco em comum.;Drama,Romance;6.5
Abaixo de Zero;Um estudante universitário retorna a Los Angeles para umas férias a pedido de sua ex-namorada, mas descobre que seu antigo melhor amigo tem um hábito de drogas fora de controle.;Policial,Drama;6.4
Winchester '73;A obsessão de um vaqueiro por um fuzil roubado o leva numa odisseia cheia de balas através do oeste americano.;Ação,Drama,Faroeste;7.6
Mickey Olhos Azuis;"Um leiloeiro inglês pede a filha de um chefão da máfia em casamento, apenas para perceber que certos ""favores"" seriam pedidos a ele.";Comédia,Policial,Romance;5.9
Festa de Família;Na festa de 60 anos de Helge, algumas verdades familiares desagradáveis são reveladas.;Drama;8.1
Ana dos Mil Dias;O rei Henrique VIII da Inglaterra descarta uma esposa, Catarina de Aragão, que não conseguiu produzir um herdeiro masculino, a favor da jovem e bonita Anne Boleyn.;Biografia,Drama,História;7.4
Adorável Molly;Molly recém -casada se move para a casa do pai falecido no campo, onde lembranças dolorosas logo começam a assombrá -la.;Drama,Terror;5.3
Ed Wood;O ambicioso, mas problemático, diretor de cinema Edward D. Wood Jr. se esforça ao máximo para realizar seus sonhos, apesar de sua falta de talento.;Biografia,Comédia,Drama;7.8
Passagem para a Índia;A desconfiança cultural e as falsas acusações condenam uma amizade na Índia colonial britânica entre um médico indiano, uma mulher inglesa noiva de um magistrado da cidade e um educador inglês.;Aventura,Drama,História;7.3
Sem Remorso;John Clark, um SEAL da Marinha, segue um caminho para vingar o assassinato da sua esposa apenas para se encontrar dentro de uma conspiração maior.;Ação,Suspense,Guerra;5.7
In & Of Itself;O contador de histórias e mago conceitual Derek DelGaudio tenta entender a natureza ilusória da identidade e responder à pergunta enganosamente simples: quem sou eu?;Documentário;8.2
Um Estranho no Ninho;Um criminal apela por insanidade e quando está dentro da institução mental se rebela contra as enfermeiras e junto com os outros pacientes se manifestam.;Drama;8.7
Londres Proibida;Desesperado para fugir de um cafetão irritado, uma prostituta de Londres e uma jovem fuga de trem para Brighton depois de uma consulta com um cliente poderoso, dá errado violentamente.;Policial,Drama,Suspense;6.9
Flores de Papel;Suresh Sinha, um diretor famoso, descobre o potencial de estrelas em Shanti, uma mulher que ele tropeçou em uma noite chuvosa e a lança como a liderança de um filme.Em uma reviravolta do destino, Shanti se torna uma estrela e Suresh enfrenta um declínio em sua carreira.;Romance;7.8
O Preço de um Resgate;O filho do bilionário Tom Mullen é sequestrado, mas depois de concordar inicialmente em pagar o resgate, Mullen decide usar o dinheiro do resgate como recompensa.;Ação,Policial,Suspense;6.7
O Barato de Grace;Uma viúva inglesa de cidade pequena, enfrentando problemas financeiros após o suicídio de seu marido, recorre à agricultura de um tipo ilegal.;Comédia,Policial;6.9
Daguerreotypes;Retratos das pessoas que ocupam as pequenas lojas da Rue Daguerre, Paris, onde o cineasta morava.;Documentário;7.6
A Última Gargalhada;Quando o gerente de talentos aposentado Al Hart conhece seu primeiro cliente Buddy Green, um comediante que deixou o entretenimento há 50 anos, convence Buddy a escapar de sua comunidade de aposentados e a embarcar em uma turnê de comédia.;Comédia;5.6
Anjo;Uma mulher e seu marido tiram férias separadas, e ela se apaixona por outro homem.;Comédia,Drama,Romance;7.2
Ir ao mar;Um jovem comediante angustiado faz um trabalho humilde em um cruzeiro, esperando sua grande oportunidade de ter sucesso no mundo da comédia.;Comédia;1.8
(500) Dias com Ela;Uma comédia romântica sobre uma mulher que não acredita no amor verdadeiro e um homem que se apaixona por ela.;Comédia,Drama,Romance;7.7
O Balconista;Um dia na vida de dois funcionários de lojas de conveniência chamados Dante e Randal enquanto eles irritam os clientes, falam sobre filmes e jogam hóquei no telhado da loja.;Comédia;7.7
A Força do Carinho;Um cantor country consegue uma nova esposa, estende a mão para sua filha perdida há muito tempo e tenta recompor sua vida problemática.;Drama,Musical;7.3
Miracle Mile;Um jovem ouve por acaso um telefonema dizendo que uma guerra nuclear começou e que mísseis atingirão sua cidade em 70 minutos.;Ação,Drama,Romance;7.0
O Deserto dos Tártaros;O tenente Giovanni Drogo é designado para a antiga fortaleza da fronteira de Bastiani, onde espera um ataque iminente de tártaros nômades temíveis.;Drama,História,Guerra;7.5
Barrados no Shopping;Abandonados por suas namoradas, os dois melhores amigos procuram refúgio no shopping da cidade.;Comédia,Romance;7.0
Monster Trucks;Um jovem que trabalha em um sucateiro em uma pequena cidade descobre e faz amizade com uma criatura que se alimenta de petróleo.;Ação,Aventura,Comédia;5.6
Caravana de Bravos;Dois jovens Drifters guiam um trem de vagão mórmon para o vale de San Juan e encontram cutticos, índios, geografia e desafios morais na jornada.;Faroeste;7.1
A Máscara do Terror;Após anos a ser pisoteado e enganado, um homem acorda para descobrir que o seu rosto foi substituído por uma máscara branca.;Terror,Mistério;5.2
Entre Risos e Lágrimas;Uma gravidez não planejada de vinte e poucos anos a obriga a enfrentar as realidades da feminilidade independente pela primeira vez.;Comédia,Drama,Romance;6.7
Cry-Baby;Um garoto com um coração de ouro conquista o amor de uma boa menina, cujo namorado busca vingança.;Comédia,Musical;6.4
A Canção de Bernadette;Bernadette, de 14 anos, morando em uma pequena cidade no sul da França da década de 1850, afirma ter visto uma visão divina, provocando extremo ceticismo, preocupação de sua família e turbulência religiosa e política.;Biografia,Drama;7.6
Más Companhias;Uma história sombriamente satírica sobre a vida desmoronando no meio de um subúrbio aparentemente idílico.;Comédia,Drama;6.9
Escuridão;O conto catártico de uma jovem que não pode ver, ouvir ou falar e o professor que jogar um raio de luz em seu mundo escuro.;Drama;8.1
Supercondríaco;A necessidade fanática de limpeza de um hipocondríaco furiosa é testada grave quando ele é confundido com um herói de guerra se preparando para a revolução.;Comédia;6.0
The T.A.M.I. Show;A Duo Pop Surf, Jan e Dean hospedam esta vitrine de apresentações de conhecidas estrelas de rock, R&B e pop da época.;Documentário,Musical;8.3
Solaris;Um psicólogo é enviado para investigar a equipe de uma estação de pesquisa isolada que orbita um planeta estranho.;Drama,Mistério,Romance;6.2
Ruhr;A visão preocupante e também tranquilizadora de James Benning do vale de Ruhr, filmada em seis tomadas fascinantes de um túnel, uma floresta, uma fábrica, uma mesquita, grafite e uma chaminé.;Documentário;7.2
Codinome Cassius 7;Um agente aposentado da CIA se une a um jovem agente do FBI para desvendar o mistério do assassinato de um senador, e todos os sinais apontam para um assassino soviético.;Ação,Policial,Drama;5.9
Scusate il ritardo;Vincenzo, um homem apático e preguiçoso de 30 anos que ainda vive com sua mãe, não tem emprego e não deseja melhorar.Ele conhece Anna e se apaixona por ela, mas para manter o relacionamento vivo, ele deve aprender a aceitar mais responsabilidade.;Comédia,Drama;7.3
Ek Tha Tiger;O principal tigre de espionagem da Índia e seu amor Zoya combatem o mundo sombrio da inteligência e espionagem que proíbe seus soldados de amar o inimigo.;Ação,Aventura,Romance;5.5
O Homem de Alcatraz;Um assassino mal-humorado e condenado, mantido em isolamento permanente, se redime quando se torna um renomado especialista em pássaros.;Biografia,Policial,Drama;7.8
Arapuca;Um homem entra em uma cidade aparentemente deserta com seu filho em busca de trabalho.Mas depois de um pouco de má sorte, ele se junta à população de almas perdidas da cidade.;Policial,Drama,Fantasia;7.5
Iqbal;Iqbal, o filho surdo e muda de um fazendeiro, tem uma paixão pelo jogo de críquete e procura a tutela de um ex-jogador alcoólatra e desbotado.;Drama,Esportes;8.1
Kundun;Desde a infância até a idade adulta, o décimo quarto Dalai Lama do Tibete aborda a opressão chinesa e outros problemas.;Biografia,Drama,História;7.0
O Bom Pastor;Quando o jovem padre O'Malley chega a St. Dominic's, o velho padre Fitzgibbon não dá muita importância ao mais novo membro da igreja.;Comédia,Drama,Musical;7.0
Asas do Amor;Uma mulher empobrecida que foi forçada a escolher entre uma vida privilegiada com sua tia rica e seu amante jornalista, faz amizade com uma herdeira americana.Quando ela descobre que a herdeira é atraída por seu próprio amante e está morrendo, ela vê a chance de ter a vida privilegiada que não pode desistir e o amante que ela não pode viver sem.;Drama,Romance;7.1
Flashes de uma Psicose;Alice é uma argumentista traumatizada por um antigo namoro. Para acabar trabalhos atrasados, decide isolar-se numa mansão onde cada cômodo reserva a sua porção de sons e silêncios assustadores, e onde presenciará estranhos acontecimentos.;Drama,Terror,Suspense;4.5
Fack ju Göhte 2;Müller e sua turma estão fazendo uma viagem escolar à Tailândia para fortalecer a reputação de sua escola.;Comédia;5.9
Presságios de um Crime;O psíquico John Clancy trabalha com o F.B.I. para caçar um serial killer.;Policial,Drama,Mistério;6.4
Distante;Depois que sua esposa o deixa, um fotógrafo tem uma crise existencial e tenta lidar com a visita de seu primo.;Drama;7.5
Sua Única Saída;Um garoto assombrado por pesadelos sobre a noite em que toda a sua família foi assassinado é criado por uma família vizinha na década de 1880.Ele se apaixona por sua adorável irmã adotiva, mas seu desagradável irmão adotivo e tio misterioso o querem mortos.;Faroeste;7.2
Calamari Union;Um êxodo para uma vida melhor na Eira;Comédia,Drama,Musical;7.0
Infini;Uma equipe de elite 'busca e resgate' transporta para uma facilidade de mineração fora do mundo para resgatar Whit Carmichael, o único sobrevivente de um surto biológico.;Terror,Ficção científica,Suspense;5.3
Albergue Espanhol;Um estudante francês com laços estreitos se muda para um apartamento em Barcelona com um elenco de outros seis personagens de toda a Europa. Juntos, eles falam a língua internacional do amor e da amizade.;Comédia,Drama,Romance;7.3
O Vício;Uma estudante de filosofia de Nova York se transforma em uma vampira após ser mordida por um, e então tenta chegar a um acordo com seu novo estilo de vida e desejo frequente por sangue.;Drama,Terror;6.4
Matangi/Maya/M.I.A.;Desenhado de um cache nunca visto de filmagens pessoais que há décadas, este é um retrato íntimo do artista e músico do Sri Lanka que continua a quebrar convenções.;Documentário,Biografia,Musical;7.5
Super Tiras;Cinco policiais de Vermont tentam salvar seus empregos e derrotar o departamento de polícia local, solucionando um crime.;Comédia,Policial,Mistério;7.0
A Maldição do Demônio;Uma bruxa vingativa e o seu servo diabólico regressam da sepultura e iniciam uma campanha sangrenta para possuir o corpo da bela descendência da bruxa, com apenas o irmão da mulher e um belo médico de pé no seu caminho.;Terror;7.1
Morte em Veneza;Enquanto se recupera em Veneza, o compositor Gustav von Aschenbach coloca sua atenção na adolescente Tadzio.;Drama,Romance;7.4
A Vida de um Sonho;Os altos e baixos de uma família de imigrantes noruegueses, por volta de 1910.;Drama,Família;7.9
Transporte Aéreo;Quando o Iraque invade o Kuwait em agosto de 1990, um empresário indiano insensível se torna o porta -voz de mais de 170.000 compatriotas presos.;Ação,Drama,História;7.9
Hamburger Hill;Uma interpretação bem realista de uma das batalhas mais sangrentas da Guerra do Vietnã.;Ação,Drama,Suspense;6.7
Alta Sociedade;Com a 'socialite' Tracy Lord prestes a se casar novamente, seu ex-marido, com a ajuda de um repórter simpático, tem 48 horas para convencê-la de que ela ainda o ama de verdade.;Comédia,Musical,Romance;6.9
O Otário;Um estudante universitário, rotulado como perdedor por seus colegas de quarto e expulso do dormitório, se apaixona por uma estudante com olhos para seu professor condescendente.;Comédia,Romance;5.3
Dias de Ira;A jovem esposa de um padre se apaixona por o filho dele no meio da caça das bruxas na Dinamarca do século XVII.;Drama,História;8.1
O Leão do Deserto;Em 1929, Mussolini decide acabar com a resistência líbia à colonização italiana, liderada por Omar Mukhtar. Para isso, envia Rodolfo Graziani para África com uma missão simples: exterminar os resistentes sem olhar a meios, e matar Mukhtar.;Biografia,Drama,História;8.2
Plano B;Uma mulher concebe gêmeos por inseminação artificial e encontra o homem dos seus sonhos no mesmo dia.;Comédia,Romance;5.3
Kiga kaikyô;Três ladrões escapam de um assalto, um deles matando os outros dois.Ele é protegido por uma prostituta e procurada pela polícia, mas somente depois de dez anos sua verdadeira motivação se desenrola.;Policial,Drama,Mistério;7.9
A Rosa;A vida trágica de uma estrela do rock autodestrutiva que luta para lidar com as constantes pressões de sua carreira e as demandas de seu implacável gerente de negócios.;Drama,Musical,Romance;6.9
Imagine;Um professor cego quebra as regras para ajudar uma estudante a redescobrir os prazeres da vida.;Drama;7.3
O Meu Século XX;Duas irmãs gêmeas, que cresceram separadamente, Dóra, um pseudo-aristocrata, e Lili, um bombardeiro anarquista, se reúnem através de Z, um misterioso viajante do luxuoso Orient-Express.;Comédia,Drama,Ficção científica;7.1
O Filho do Máskara;"Tim Avery, um aspirante a cartunista, se envolve em uma situação difícil quando seu cão encontra a máscara de Loki. Depois de conceber um filho ""que nasce da máscara"", ele descobre como pode ser uma loucura criar uma criança.";Comédia,Família,Fantasia;2.2
Yu-Gi-Oh! The Movie;Debaixo das areias do Egito, Anubis, um antigo espírito maligno, despertou.Cabe a Yugi, que derrotou Anubis séculos atrás, usar sua habilidade e determinação para livrar o mundo do mal mais uma vez.;Animação,Ação,Aventura;4.9
Fack ju Göhte;Segue um ex-presidiário que consegue um emprego em uma escola que por acaso está sobre o local onde estava escondido o dinheiro de um de seus assaltos anteriores.;Comédia;6.9
O Pagamento Final;Um ex-prisioneiro porto-riquenho que acabou de ser libertado da prisão promete ficar longe das drogas e da violência, apesar da pressão em torno dele.;Policial,Drama,Suspense;7.9
Braço de Diamante;Um cidadão soviético comum intervém acidentalmente em uma enorme operação de grupo criminal internacional que negocia jóias obtidas ilegalmente.;Aventura,Comédia,Policial;8.3
Dobermann;Dobermann é o ladrão de bancos mais cruéis do mundo e com seu Gangue Rob Bank depois do banco, agora em Paris.O que a polícia pode fazer senão soltar o comissário de polícia louco e moralmente falido sobre ele?;Ação,Policial,Suspense;6.5
O Novato;Um jovem e brilhante estagiário da CIA recebe uma solicitação de seu mentor para a ajudar a encontrar um infiltrado na Agência.;Ação,Suspense;6.6
Carta de Amor;Ao trocar cartas, duas mulheres descobrem coisas novas sobre um homem que conheciam.;Drama,Romance;7.9
Aposta Máxima;Quando um estudante universitário pobre que quebra um jogo de pôquer, vai à falência, ele organiza uma reunião cara a cara com o homem que ele acredita que o enganou, um homem de negócios astuto.;Policial,Suspense;5.6
Adorável Vagabundo;Um sem-teto é recrutado por um colunista ambicioso para imitar uma pessoa inexistente que disse que cometeria suicídio em protesto, e começa um movimento político.;Comédia,Drama,Romance;7.6
Free Solo;Alex Honnold tenta se tornar a primeira pessoa em escalar sozinho o El Capitan.;Documentário,Aventura,Esportes;8.1
Matar ou Morrer;Apesar dos desentendimentos com sua namorada e os habitantes da cidade, um marechal deve enfrentar uma gangue quando seu líder chegar no trem do meio-dia.;Drama,Suspense,Faroeste;8.0
Santos e Pecadores;Dois policiais de Nova Orleans enfrentam uma gangue extremamente violenta.;Ação,Policial,Suspense;6.1
Férias no Trailer;A familia McNeive, liderada pelo patriarca Bob, prepara-se para a aventura das suas vidas passando duas semanas juntos numa viagem atraves das montanhas do Colorado.;Aventura,Comédia,Família;5.5
Big Bad Wolves;Depois que uma jovem é brutalmente assassinada, um suspeito evita a prisão por falta de provas. Trabalhando separadamente, seu pai e um policial decidem fazer algo a respeito.;Drama,Terror,Suspense;6.8
O Fim da Turnê;A história da entrevista de cinco dias entre o repórter da Rolling Stone David Lipsky e o aclamado romancista David Foster Wallace, que aconteceu logo após a publicação do romance épico inovador de Wallace, 'Infinite Jest', em 1996.;Biografia,Drama;7.2
Um Romance Inesperado;Marcy é assistente do senador John McGlory, que está tendo problemas com uma campanha de reeleição.Desesperado por votos irlandeses, o chefe de gabinete de McGlory, Nick, envia Marcy para a Irlanda para rastrear parentes ou ancestrais de McGlory.Marcy chega à vila de Ballinagra quando está se preparando para um festival anual de matchmaking.Uma jovem bem vestida, bonita e solteira, ela ...;Comédia,Romance;6.5
Caro Diário;O diretor Nanni Moretti dá uma olhada na vida italiana através de três vinhetas antológicas apresentadas como os capítulos de um diário aberto.;Biografia,Comédia,Drama;7.2
Ariel;Um finlandês vai à cidade para encontrar um emprego depois que a mina onde trabalhava está fechada e seu pai comete suicídio.;Comédia,Policial,Romance;7.5
Real Gangsters;Os gângsteres reais contam a história da família Lo Giacamo, um dos sindicatos de crimes mais bem -sucedidos na cidade de Nova York.Dirigido pelos primos Vincent Lo Giacamo (Nick Mancuso) e Jack Lo Giacamo (Frank D'Angelo) Gangsters reais mostram como esses dois homens mantêm o controle de seus perigosos empreendimentos comerciais familiares e voláteis por meios muito diferentes.Vincent é o pol ...;Policial,Drama,Mistério;7.2
A Porta de Ouro;Parado no México pela imigração dos EUA, Georges Iscovescu espera entrar no país ao se casar com um cidadão.;Drama,Romance;7.3
Se Meu Fusca Falasse;Um piloto de corridas se torna um campeão com um Volkswagen Beetle com mente própria.;Comédia,Família,Esportes;6.5
À Beira Mar;Um casal tenta consertar o seu matrimônio enquanto ficam num hotel na França.;Drama,Romance;5.3
Comet in Moominland;Moomin, Sniff e minha partida para parar um cometa que se aproxima do vale de Moomin.Ao longo do caminho, eles encontram Snusmumriken, o belo snorkfröken, snorken e um hemul, que se junta a eles em sua busca.;Animação,Aventura,Família;7.6
Hanare goze Orin;Um músico de viagem cego é abusado e oprimido enquanto ela percorre o país, mesmo que o mundo moderno impõe mudanças no comportamento das pessoas.;Drama;7.4
O Preço do Desafio;A história de Jaime Escalante, um professor do ensino médio que inspirou com sucesso seus alunos com tendência ao abandono a aprender cálculo.;Biografia,Drama;7.3
