Título;Descrição;Gênero;Nota
O Lenhador;Um abusador de crianças volta à sua cidade natal depois de 12 anos de prisão e tenta começar uma nova vida.;Drama;7.2
Máquinas Mortais;Em um mundo pós-apocalíptico, onde as cidades viajam sobre rodas e consomem umas às outras para sobreviver, duas pessoas se reúnem em Londres e tentam impedir uma conspiração.;Ação,Aventura,Fantasia;6.1
Com as Próprias Mãos;Um ex-soldado dos EUA retorna à sua cidade natal e a vê tomada pelo crime e pela corrupção, o que o leva a fazer uma limpeza.;Ação,Policial;6.2
Loucos do Alabama;An abused wife heads to California to become a movie star while her nephew back in Alabama has to deal with a racially-motivated murder involving a corrupt sheriff.;Comédia,Policial,Drama;6.2
Caminhos da Floresta;Uma bruxa atribui a um casamento sem filhos a tarefa de encontrar uma série de objetos mágicos de contos de fadas para reverter a maldição de sua linhagem.;Aventura,Comédia,Drama;5.9
A Mulher da Areia;Um entomologista de férias é forçado pelos moradores locais de uma vila a viver com uma mulher cuja função na vida é escavar areia para eles.;Drama,Suspense;8.5
A Rota de Colisão;Dois amigos decidem fazer uma viagem ao deserto. Mitchell (Josh Duhamel) tem uma vida estável, sucesso no trabalho e com os amigos. Já Carter (Dan Fogler) passa por diversos problemas.;Drama,Suspense;6.4
O Grande Mestre;A história do mestre de artes marciais Ip Man, o homem que treinou Bruce Lee.;Ação,Biografia,Drama;6.5
Os Outros;Uma mulher que vive em sua antiga casa de família escura com seus dois filhos fotossensíveis está convencida de que a casa é assombrada.;Terror,Mistério,Suspense;7.6
Abril Despedaçado;Quando seu pai o ordena a vingar a morte de seu irmão mais velho, um jovem questiona a tradição de violência entre duas famílias rivais.;Drama;7.6
Queen;Uma garota de uma família tradicional de Deli, sai em lua de mel sozinha depois que seu casamento é cancelado.;Aventura,Comédia,Drama;8.1
Jogando Com a Sorte;Quando um jogador casual faz amizade com um jogador profissional, ele começa a espelhar sua vida, enviando ambos mais profundamente para o mundo do jogo, onde as apostas continuam a subir.;Comédia,Drama;7.2
Que Espere o Céu;Boxer Joe Pendleton dies 50 years too soon due to a heavenly mistake, and is given a new life as a millionaire playboy.;Comédia,Fantasia,Romance;7.6
Sem Fôlego;A bitter loan shark strikes a friendship with a troubled schoolgirl as he faces his own troubled past with his abusive father.;Policial,Drama;7.5
Rio Vermelho;Dunson conduz um rebanho de gado, resultado de mais de 14 anos de trabalho, até seu destino no Missouri. Mas seu comportamento tirânico ao longo do caminho provoca um motim, liderado por seu filho adotivo.;Drama,Faroeste;7.8
O Fantasma da Ópera;An acid-scarred composer rises from the Paris sewers to boost his favorite opera understudy's career.;Drama,Terror,Musical;6.4
Oklahoma!;In Oklahoma, several farmers, cowboys and a traveling salesman compete for the romantic favors of various local ladies.;Comédia,Drama,Musical;7.0
5 Dias de Guerra;A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire.;Ação,Drama,Guerra;5.5
Kambakkht Ishq;A romantic comedy about an Indian stuntman who takes Hollywood by storm but cannot find true love.;Ação,Comédia,Romance;3.8
Almôndegas;Bill Murray é Tripper Harrison, conselheiro principal do Acampamento North Star. A diversão está à solta, assim como seu novo grupo de conselheiros, que estão determinados a quebrar todas as regras.;Comédia;6.2
Quatro Minutos;Uma professor de piano idosa treina uma jovem em uma penitenciária feminina.;Drama,Musical;7.3
Garotas Formosas;"An edgy comedy about two frustrated plus-sized women obsessed with their weight while struggling to find love and acceptance in a world full of ""hot-bodied"" babes.";Comédia;3.2
Paixão à Flor da Pele;Um jovem publicitário de Chicago acredita que uma mulher que ele vê em um café é seu amor perdido de longa data. Sua convicção o leva à obsessão e ele interrompe sua vida para persegui-la.;Drama,Mistério,Romance;6.9
Os Babacas;"An incredibly dull-witted family unknowingly stumble upon an illegal weapons deal while on the trail of their ""stolen"" garbage.";Aventura,Comédia;4.2
O Duplo;Um funcionário de uma agência governamental descobre que sua vida toma um rumo terrível com a chegada de um novo colega de trabalho que é tanto seu duplo físico exato quanto seu oposto: confiante, carismático e sedutor com as mulheres.;Comédia,Drama,Mistério;6.5
O Álamo;Baseado no confronto de 1836 entre um grupo de homens, liderado por Davy Crockett e Jim Bowie, e as forças do ditador mexicano Santa Anna em San Antonio Texas.;Drama,História,Guerra;6.0
O Ano Mais Violento;Na cidade de Nova York de 1981, um ambicioso imigrante luta para proteger sua empresa e família durante o ano mais perigoso da história da cidade.;Ação,Policial,Drama;7.0
Guerra nas Estrelas;Luke Skywalker une forças com um cabaleiro Jedi, um arrogante piloto é dois dróides para salvar a galaxia enquanto tentam salvar a princesa Leia do misterioso Darth Vader.;Ação,Aventura,Fantasia;8.6
O Código Da Vinci;Um assassinato dentro do Louvre, e pistas nas pinturas de Da Vinci, levaram à descoberta de um mistério religioso protegido por uma sociedade secreta por dois mil anos, o que poderia abalar os fundamentos do cristianismo.;Mistério,Suspense;6.6
A Repossuída;Esposa suburbana é possuída pelo demônio e cria mil confusões no lar, antes que um padre aposentado resolva sair de seu claustro para exorcizá-la.;Comédia,Fantasia,Terror;4.8
Ponto de Partida;Four Los Angelenos, a mortician, an ex-con, a suicidal ex-priest, and a stripper, are brought together on Christmas Eve by a mixture of circumstances.;Drama;6.2
Vício Frenético;Enquanto investiga o estupro de uma jovem freira, um detetive corrupto da polícia de Nova Iorque com um grave vício em drogas e jogos de azar, tenta mudar seus caminhos e encontrar o perdão e a redenção.;Policial,Drama,Suspense;7.0
Uma Manhã Gloriosa;Um novo produtor de TV assume o desafio de reviver um programa matinal com co-apresentadores conflitantes.;Comédia,Drama,Romance;6.5
Meu Novo Amor;A teenager (Moore), disillusioned by too many examples of love gone wrong, refuses to believe that true love exists. Then this new guy (Ford) comes along...;Comédia,Drama,Romance;5.5
Flores de Xangai;"In the ""flower houses"" (upscale brothels) of Shanghai, various interweaving stories of love, loyalty, and deceit play out subtly.";Drama;7.3
Cavalo Dinheiro;"""The time is now, a numbing and timeless present of hospital stays, bureaucratic questioning, and wandering through remembered spaces... and suddenly it is also then, the mid '70s and the time of Portugal's Carnation Revolution, when Ventura got into a knife fight with his friend Joaquim."" This is the synopsis from the press notes. The film is a sequel of sorts to Cos...";Drama;6.9
Contrastes Humanos;Hollywood director John L Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.;Aventura,Comédia,Drama;7.9
Evil: Raízes do Mal;Um adolescente expulso da escola por brigas chega a um internato onde a intimidação sistemática de alunos mais jovens é encorajada para manter a disciplina, mas ele decide lutar contra isso.;Drama;7.7
Ovelha Negra;Um experimento em engenharia genética transforma ovelhas inofensivas em assassinos sanguinários que aterrorizam uma extensa fazenda da Nova Zelândia.;Comédia,Terror,Ficção científica;5.8
Amores Eletrônicos;Um computador artificialmente inteligente e seu dono humano se encontram numa rivalidade romântica com uma mulher.;Comédia,Drama,Musical;6.4
Vale a Pena Viver?;A young couple struggling against poverty must keep their marriage a secret in order for the husband to keep his job, as his boss doesn't like to hire married men.;Drama,Romance;7.2
Okaeri;"Yuriko works at home all day as a tape transcriber, while her husband, Takashi, works as a school teacher. Yuriko's behavior grows stranger and more distant and she starts spending all day ""patrolling"" the neighborhood. Takashi follows her one afternoon and begins to suspect that she may be suffering from schizophrenia.";Drama;7.3
Fuga de Nova York;Em 1997, quando o avião do presidente dos Estados Unidos cai em Manhattan, que agora é uma prisão de segurança máxima, um assaltante de banco é enviado para resgatá-lo.;Ação,Aventura,Ficção científica;7.1
La flor;A film in six episodes, connected by the same four actresses, full of various subplots that play with narrative and different cinematic genres , everything structured in an unusual way.;Drama,Fantasia,Musical;7.4
Professora Sem Classe;Uma professora preguiçosa e incompetente que odeia seu trabalho, alunos e colegas de trabalho, é forçada a voltar nas aulas para ganhar dinheiro suficiente para implantes mamários depois que seu rico noivo a deixa.;Comédia,Romance;5.6
Inferno;Quando Robert Langdon acorda amnésico em um hospital italiano, ele se junta à Dra. Sienna Brooks e embarca em uma corrida contra o relógio para impedir uma trama em escala global.;Ação,Aventura,Policial;6.2
Padrinhos de Tóquio;Na noite de Natal, três desabrigados que vivem nas ruas de Tóquio descobrem um bebê recém-nascido no lixo e partem à procura de seus pais.;Animação,Aventura,Comédia;7.8
Viagem Sem Volta;A viagem de um jovem turista ingênuo através do Chile com amigos se transforma em um pesadelo.;Drama,Terror,Suspense;5.0
Ídolo, Amante e Herói;A história da vida e da carreira do famoso jogador de beisebol Lou Gehrig.;Biografia,Drama,Romance;7.6
Dezesseis Luas;Ethan Wate deseja escapar de sua pequena cidade ao sul, mas conhece uma garota misteriosa, Lena Duchannes. Juntos, descobrem segredos obscuros sobre suas respectivas famílias, sua história e sua cidade.;Drama,Fantasia,Romance;6.1
Força Aérea Um;A bordo do avião presidencial, o Presidente Marshall está de regresso a casa com a família e o seu gabinete. No entanto, o avião é sequestrado por terroristas que exigem a libertação do ditador do seu país.;Ação,Drama,Suspense;6.5
Pek Yakinda;"Pirated DVD seller Zafer who is formerly an extra in movies, swore to give up illegal works when his wife wanted to get divorce. To win his family back, he and his old-fashioned crew decided to make a movie called ""Summit - The End Of Evil"" which is a fantastic science fiction movie and couldn't be shot since 1977. A funny, entertaining and emotional journey awaits hi...";Comédia,Drama,Romance;7.3
The Firm;Football hooligans organize themselves into firms that represent their favorite team.;Comédia,Drama,Mistério;5.8
Dublê de Corpo;A obsessão de um jovem ator em espionar um vizinho bonito leva a uma série de eventos com consequências drásticas.;Policial,Drama,Mistério;6.8
O Cão dos Baskervilles;Um homem é ameaçado por uma maldição familiar em sua propriedade recém herdada, o detetive Sherlock Holmes é contratado para investigar.;Terror,Mistério;6.9
Obsessão;Um repórter retorna à sua cidade natal na Flórida para investigar um caso que envolve um prisioneiro condenado a morte.;Policial,Drama,Mistério;5.7
Escola de Espiões;"Uma agente de operações especiais que cobiça uma adolescência ""normal"" finge sua morte e se matricula em uma escola secundária suburbana. Ela aprende que sobreviver ao colégio é mais desafiador do que a espionagem internacional.";Ação,Comédia;5.4
A Gangue da Pesada;The Wanderers é uma gangue italiana de adolescentes do Bronx, Nova York, em 1963. Eles entram em confrontos com outras gangues. Drogas e armas não são coisas bacanas. A vida adulta os espera.;Policial,Drama,Romance;7.3
Histórias De Amor;Quando Jesse, de 30 e poucos anos, volta à sua alma mater para a festa de aposentadoria de um professor, ele se apaixona por Zibby, um estudante universitário, e enfrenta uma poderosa atração que surge entre eles.;Comédia,Drama,Romance;6.7
Oblivion;Um veterano é dado a tarefa de trouxer os restos dos recursos da Terra, mas comença a questionar a misão e sua vida.;Ação,Aventura,Ficção científica;7.0
Alameda do Sol;"A group of kids grows up on the short, wrong (east) side of the Sonnenallee in Berlin, right next to one of the few border crossings between East and West reserved for German citizens. The antics of these kids, their families, the ""West German"" friends and relatives who come to visit, and the East German border guards, all serve to illustrate the absurdity of everyday...";Comédia,Drama,Romance;6.8
Dhoom:3;Quando Sahir, um artista de circo treinado em magia e acrobacia, se transforma em um ladrão para derrubar um banco corrupto em Chicago que arruinou seu pai, os oficiais indianos Jai e Ali são chamados para pegá-lo.;Ação,Policial,Drama;5.3
Bacalaureat;A film about compromises and the implications of the parent's role.;Policial,Drama;7.3
Geração Prozac;Uma jovem mulher luta contra a depressão durante seu primeiro ano em Harvard.;Biografia,Drama,Romance;6.2
Super-Herói: O Filme;Rick Riker, um estudante órfão do ensino médio é mordido por uma libélula radioativa, desenvolve superpoderes (exceto a capacidade de voar) e se torna um herói.;Ação,Comédia,Ficção científica;4.6
Roleta Chinesa;"Both parents of a young teen who walks with crutches secretly meet their lovers, who both surprise each other at the family's country home. The daughter arrives and initiates a guessing game of ""Chinese roulette.""";Drama,Suspense;7.2
Chup Chup Ke;A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.;Comédia,Drama,Romance;6.9
Um Homem Chamado Ove;Ove, um aposentado isolado e mal-humorado que passa seus dias fazendo cumprir as regras e visitando o túmulo de sua esposa, finalmente desistiu da vida quando uma improvável amizade está se desenvolvendo com seus novos e bizarros vizinhos.;Comédia,Drama,Romance;7.7
Orfeu do Carnaval;Um relato do mito de Orfeu e Eurídice, ambientado na época do Carnaval no Rio de Janeiro.;Drama,Fantasia,Musical;7.4
Um Caso Complicado;A vida da atriz pornô Elektra Luxx fica de cabeça para baixo quando ela descobre que está grávida.;Comédia,Drama;5.0
O Chacal;Um soldado IRA é libertado para ajudar a parar um assassino sem rosto antes que ele ataca novamente.;Ação,Policial,Drama;6.4
Quatro Leões;Quatro incompetentes terroristas britânicos se propuseram a treinar e cometer um ato de terror.;Comédia,Policial,Drama;7.2
La signora di tutti;Gaby is expelled from school after a married teacher commits suicide after telling her he can't live without her. Though she has done nothing, she is punished for his act.;Drama;7.3
O Ladrão de Cavalos;A Tibetan man struggles to provide for his family.;Drama;6.9
Lacombe Lucien;In 1944, an 18-year old boy from small-town France, collaborates with the Nazi-regime and subsequently falls in love with a Jewish girl.;Drama,Romance,Guerra;7.6
36;Um chefe da polícia que está prestes a se aposentar promete a dois policiais que quem pegar a gangue que rouba caminhões conseguirá seu emprego. Os 2 farão o que for para conseguir a promoção, mesmo que signifique infringir a lei.;Ação,Policial,Drama;7.1
Álom.net;Regina, the once popular girl has to make new friends at her new, conservative school. Problems arrive when she becomes enemies with Lívia, the school's queen bee, and falls in love with Márk, a musician. If these wouldn't be enough, she decides to organize a cheerleader team.;Comédia,Romance,Esportes;1.3
Blithe Spirit;Um médium faz uma sessão para um escritor que sofre de bloqueio de escritor, mas acidentalmente convoca o espírito da primeira esposa falecida, o que leva a um triângulo amoroso cada vez mais complexo com a actual esposa de cinco anos.;Comédia,Fantasia,Romance;5.4
Angelus;A commune built around the pursuit of spiritual perfection through the occult begins to see its prophecies come true.;Comédia,Drama;6.9
Retorno a Howards End;Um homem de negócios frustra o legado da propriedade de sua esposa para outra mulher.;Drama,Romance;7.4
Sexta-Feira 13;Um grupo de jovens adultos descobre um acampamento em Crystal Lake, onde eles logo encontrarão Jason Voorhees e suas intenções mortais.;Terror,Mistério,Suspense;5.5
Três Enterros;Ranch foreman Pete Perkins looks to fulfill the promise to his recently deceased best friend by burying him in his hometown in Mexico.;Aventura,Policial,Drama;7.3
Voltando para a Escola;A young breakdancer hits his head during a talent show and slips into a coma for twenty years. Waking up in 2006, he looks to revive his and his team's career with the help of his girlfriend and his parents.;Comédia;4.6
Quixote;A short film by Bruce Baillie in which he documents his journey across North America.;Drama;6.6
Garoto Prodígio;A traumatized boy grows into a shy, determined teenager who patrols the mean streets of New York City, helping those in need and dishing out severe punishment to remorseless thugs.;Ação,Policial,Drama;6.8
Meninos de Rua;A profile of homeless Romanian children who were born victims of the nation's reckless population growth policy during its communist era.;Documentário;8.2
Uma Mulher Casada;A superifical woman finds conflict choosing between her abusive husband and her vain lover.;Drama,Romance;7.2
Os Perdedores;Uma equipe de forças especiais da CIA é traída e deixada para morrer por seus superiores, levando-os a montar uma ofensiva contra a CIA.;Ação,Aventura,Comédia;6.3
Comando de elite;Durante a II Guerra Mundial, em 1940, o Major Jones é designado o líder de uma expedição à Noruega, a fim de destruir uma base militar alemã.;Ação,Aventura,Drama;5.5
Na Linha do Trem;A shy advertising employee meets his dream girl on the El train, but doesn't remember to get her phone number, resulting in an all-out search for the mystery girl;Comédia,Família,Romance;4.1
Meninos do Brasil;Um caçador de nazis no Paraguai descobre uma trama sinistra e estranha para reviver o Terceiro Reich.;Drama,Mistério,Ficção científica;7.0
Batman: A Piada Mortal;Enquanto Batman procura o fugitivo Joker, o Príncipe Palhaço do Crime ataca a família Gordon para provar um ponto diabólico que espelha sua própria descendência na loucura.;Animação,Ação,Policial;6.4
Sue;An unemployed ex-office worker (Anna Thomson) searching for work floats a fragile line of sanity as she struggles to find friendship and companionship. Her tenuous grasp on reality further fluctuates when a man (Matthew Powers) whom she met in a restaurant and started an affair is called to go to India for an assignment. The final straw occurs when she is evicted and ...;Drama;7.1
Ainda Muito Loucos;Fame, fortune and fornication drove the British rock band in the '70s until a divine end. 20 years later, Strange Fruit reunites and goes on a tour with ups and downs on the continent.;Comédia,Drama,Musical;7.0
Chachi 420;Desperation to be with his only child forces a divorced man to take the guise of the child's nanny. Situations get really messy when the child's grandfather (the man's ex-father-in-law) falls in love with his disguised ex-son-in-law.;Comédia,Drama,Família;7.4
Gamle mænd i nye biler;Fresh out of a Danish prison, Harald bosses his old gang around, into visiting his hospitalized foster dad, who wants to see his bio son before dying. The son's in a Swedish prison. Then there's a money matter - robbing a bank.;Ação,Comédia,Policial;6.7
The Doors;A história da famosa e influente banda de rock dos anos 60 The Doors, e seu cantor e compositor, Jim Morrison, desde seus dias como estudante de cinema em Los Angeles até sua morte prematura em Paris, França, aos 27 anos em 1971.;Biografia,Drama,Musical;7.2
O Vigia;Chris é um atleta do ensino médio cuja vida é virada de cabeça para baixo após um trágico acidente. Enquanto tenta manter uma vida normal, ele aceita um emprego como zelador de banco, onde finalmente é envolvido em um assalto planejado.;Policial,Drama,Suspense;7.0
O Último Boy Scout;A testemunha protegida de um detetive privado é assassinada, levando ele e ao namorado da vítima a investigar o crime que conduz a um político corrupto e ao dono de uma equipe de futebol.;Ação,Comédia,Policial;7.0
PK;Um alienígena na Terra perde o único dispositivo que pode usar para se comunicar com sua nave espacial. Sua natureza inocente e questões infantis forçam o país a avaliar o impacto da religião nas pessoas.;Comédia,Drama,Ficção científica;8.1
Encurralados;A dinâmica de uma família perfeita é arruinada pela trama brutalmente eficiente de um sequestrador.;Policial,Drama,Suspense;6.6
G.O.R.A.;Um jovem turco astuto sequestrado por extraterrestres mostra seu grande «espírito humanitário» ao enganar o malvado comandante-chefe do planeta G. O. R. A..;Aventura,Comédia,Ficção científica;8.0
Palo Alto;Um retrato inflexível da luxúria, tédio e autodestruição adolescente que se concentra em uma garota tímida na cúspide de um relacionamento ilícito com seu treinador de futebol.;Drama;6.2
Era Tudo que Eu Queria;The story of a young man who enters college only to discover that he can learn more about life and love from his neighbors in the apartment building where he lives.;Comédia,Drama;6.0
Acampamento Sinistro 3;After murdering a young girl, Angela Baker assumes her identity and travels to Camp New Horizons, built on the grounds of the camp she terrorized the year before, and starts killing again.;Comédia,Terror;5.0
A Estalagem Maldita;Em Cornwall uma jovem mulher descobre que vive perto de um bando de criminosos que organizam naufrágios com fins lucrativos.;Aventura,Policial;6.3
Vovô Sem Vergonha;Johnny Knoxville reprisa seu personagem Irving Zisman, de 86 anos, na história de um idoso sem-vergonha, sob os cuidados de seu neto. Os dois atravessam a América numa extravagante viagem, aprontando muito com as pessoas desprevenidas.;Comédia;6.5
Sound of Noise;Um policial surdo trabalha para localizar um grupo de guerrilheiros cujas apresentações públicas anárquicas estão aterrorizando a cidade.;Comédia,Policial,Musical;7.2
Jane Eyre;Uma tímida governanta que amolece o coração de seu empregador logo descobre que ele está escondendo um terrível segredo.;Drama,Romance;7.3
Mulheres Perfeitas;O segredo para uma esposa de Stepford está atrás das portas da Associação dos Homens.;Comédia,Terror,Ficção científica;5.3
O Reencontro;Um grupo de sete ex-amigos da faculdade se encontram para uma reunião de fim de semana em uma casa de férias na Carolina do Sul, após o funeral de outro dos seus amigos da faculdade.;Comédia,Drama;7.1
Paixão;A rivalidade entre o chefe manipulador de uma agência de publicidade e seu talento protegido vai do roubo de crédito ao assassinato.;Aventura,Drama,Mistério;5.3
Morte por Encomenda;Um detetive particular é contratado para encontrar uma stripper desaparecida. Um simples trabalho se torna complicado quando todos que ele questiona acabam mortos.;Ação,Mistério,Suspense;5.4
Dois Contra o Oeste;Dois homens se encontram em uma situação estranha e acabam sendo confundidos primeiro com ladrões e depois com agentes do serviço secreto.;Ação,Aventura,Comédia;7.1
Cheque em Branco;Depois de um acidente de bicicleta, um garoto inadvertidamente obtém um cheque de 1 milhão de dólares e continua a gastá-lo, sem saber que os gângsteres a que pertence estão atrás dele.;Comédia,Policial,Família;5.2
Chuva de Milhões;Um jogador de beisebol da liga menor tem que gastar $30 milhões em trinta dias para herdar $300 milhões. Entretanto, ele não está autorizado a possuir nenhum ativo, destruir o dinheiro, doá-lo ou contar a alguém sobre o negócio.;Comédia;6.5
Um Dia a Casa Cai;Um jovem casal luta para consertar uma casa em ruínas.;Comédia;6.4
Via Láctea;Dos vagabundos à peregrinação da França até Santiago de Compostela na Espanha. Ao longo do caminho, faça carona, comida e enfrente dogmas cristãos e heresias de diferentes idades.;Drama;7.4
Eclipse Total;Um repórter viaja para uma pequena cidade onde sua mãe foi presa pelo homicídio de uma mulher idosa para quem ela trabalha como empregada doméstica.;Policial,Drama,Mistério;7.4
Agente Secreto;After three British Agents are assigned to assassinate a mysterious German spy during World War I, two of them become ambivalent when their duty to the mission conflicts with their consciences.;Mistério,Suspense;6.4
Atividade Paranormal 4;Cinco anos se passaram desde o desaparecimento de Katie e Hunter, e uma família suburbana testemunha eventos estranhos em seu bairro quando uma mulher e uma criança misteriosa se mudam.;Terror,Mistério;4.6
Assalto Sobre Trilhos;Um policial de trânsito vingativo da cidade de Nova York decide roubar um trem cheio de dinheiro. Seu irmão adotivo, um colega policial, tenta protegê-lo.;Ação,Comédia,Policial;5.7
My Way Home;Jamie leaves the children's home to live with his paternal grandmother. After working in a mine and in a tailor's shop, he is conscripted into the RAF, and goes to Egypt, where he is befriended by Robert, whose undemanding companionship releases Jamie from self-pity.;Biografia,Drama;7.4
Os Sem-Floresta;Um guaxinim intrigante engana uma família de criaturas da floresta para ajudá-lo a pagar uma dívida de alimentos, mas ele aprende uma lição sobre família.;Animação,Aventura,Comédia;6.7
A Dança dos Vampiros;Um professor proeminente e seu aprendiz tolo caem presas a seus inquisidores vampiros, enquanto seguem o rastro da sinistra donzela em perigo.;Comédia,Terror;7.1
Chappie;Em um futuro próximo, o crime será patrulhado por uma força policial mecanizada. Quando um dróide policial, Chappie, é roubado e recebe uma nova programação, ele se torna o primeiro robô com a capacidade de pensar e sentir por si mesmo.;Ação,Policial,Drama;6.8
Lendas do Crime;Os gêmeos e bandidos Ronald e Reginald Kray aterroriçam Londres durante os anos sesenta.;Biografia,Policial,Drama;6.9
O Conto dos Contos;From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile.;Drama,Fantasia,Terror;6.4
P.S. Eu te Amo;Uma jovem viúva descobre que seu falecido marido lhe deixou 10 mensagens destinadas a aliviar sua dor e começar uma nova vida.;Comédia,Drama,Romance;7.0
Rio Bravo;Um oficial de cavalaria do Rio Grande enfrenta Apaches assassinos, um filho que é um recruta arriscado e sua esposa, da qual ele está separado há muitos anos.;Romance,Faroeste;7.0
Devorador de Pecados;Alex é um padre de uma ordem católica antiga e desconhecida. Quando o seu superior morre de maneira misteriosa, segue pistas que o levam a descobrir que um estranho rito foi praticado e que um mal misterioso e terrível está, afinal, vivo.;Terror,Mistério,Suspense;5.1
Terror em Silent Hill;Uma mulher, Rose, procura sua filha adotiva dentro dos limites de uma cidade estranha e desolada chamada Silent Hill.;Terror,Mistério;6.5
A Caminho do Leste;Documentary covering Bob Dylan's 1965 tour of England, which includes appearances by Joan Baez and Donovan.;Documentário,Musical;7.9
Um Dia;Depois de passarem a noite juntos antes da graduação na faculdade, Dexter e Emma se encontram todos os anos na mesma data para ver em que ponto estão em suas vidas. Às vezes, eles ficam juntos, às vezes não, naquele dia.;Drama,Romance;7.0
Celia;An imaginative and somewhat disturbed young girl fantasizes about evil creatures and other oddities to mask her insecurities while growing up in rural Australia.;Drama,Fantasia,Terror;6.8
O Homem da Casa;A Texas Ranger must protect a group of cheerleaders who have witnessed a murder.;Comédia,Policial;5.4
O Barão Fanfarrão;The outrageous Baron Munchausen tells of his many adventures, from meeting the Man in the Moon to defeating a Turkish army all by himself.;Animação,Aventura,Comédia;7.7
O Milhão;An impoverished painter and his rival engage in a race across Paris to recover a jacket concealing a winning lottery ticket.;Musical,Comédia;7.4
Shahid;O relato do advogado de direitos humanos Shahib Azmi, um cidadão comum com um compromisso extraordinário com a justiça.;Biografia,Drama;8.2
Jezebel;In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back.;Drama,Romance;7.4
Operação Cupido;As gêmeas Annie e Hallie, separadas ao nascer e cada uma criada por um de seus pais biológicos, mais tarde se descobrem pela primeira vez no acampamento de verão e fazem um plano para reunirem seus pais rebeldes.;Aventura,Comédia,Drama;6.6
A Razão do Meu Afeto;Uma assistente social grávida na cidade de Nova York começa a desenvolver sentimentos românticos por seu melhor amigo gay e decide que prefere criar seu filho com ele, para desgosto de seu namorado autoritário.;Comédia,Drama,Romance;6.0
Krrish;Krishna is forced by circumstances to use his superpowers and become the masked superhero Krrish, before getting drawn towards his lost legacy.;Ação,Aventura,Ficção científica;6.4
O Pequeno Príncipe;Uma menina vive em um mundo muito adulto com sua mãe, que tenta prepará-la para isso. Seu vizinho, o Aviador, apresenta a menina a um mundo extraordinário onde tudo é possível, o mundo do Pequeno Príncipe.;Animação,Aventura,Drama;7.7
Elling;When his mother, who has sheltered him his entire 40 years, dies, sensitive would-be poet Elling is sent to live in a state institution. There he meets Kjell Bjarne, a gentle giant and woman-obsessed virgin in his 40s. After two years, the men are released and provided with a state-funded apartment and stipend with the hope they will be able to live on their own. Init...;Comédia,Drama;7.5
Tudo por Dinheiro;Procurado por policiais e criminosos, um vigarista faz um acordo com um jornalista de TV para se proteger.;Ação,Comédia,Policial;6.1
Millennium Mambo;Vicky, de beleza etérea, relembra seus romances com Hao Hao e Jack nos clubes iluminados por neon de Taipei.;Drama,Romance;7.0
Nasce uma Estrela;Uma estrela do rock se apaixona por uma jovem cantora.;Drama,Musical,Romance;6.1
A Roda;Um engenheiro ferroviário adota uma menina que ficou órfã por causa de um acidente de trem. Anos depois, quando ela começa a ter pretendentes, ele se debate se deve ou não contar a verdade sobre sua linhagem.;Drama;7.5
Godzilla 2000;An independent group of researchers actively track Godzilla as a giant meteor is discovered. The mysterious rock begins to levitate as its true intentions for the world and Godzilla are revealed.;Ação,Aventura,Drama;6.0
O Bom Pastor;A história tumultuada da Agência Central de Inteligência, vista através do prisma da vida de um homem.;Drama,História,Suspense;6.7
A Aventura de Kon-Tiki;A documentary about the Kon-Tiki expedition of the Norwegian explorer Thor Heyerdahl.;Documentário;7.9
No Limite do Silêncio;A seemingly-untroubled adolescent carries disturbing secrets that compel a psychiatrist to unearth the patient's gruesome past.;Policial,Drama,Mistério;6.6
Minha Terra, África;Em meio à agitação racial e ao conflito em um estado africano de língua francesa, uma mulher francesa branca luta por sua colheita de café, sua família e, finalmente, sua vida.;Drama,Guerra;6.9
Eu e as Mulheres;A sleazy writer has a chance to redeem himself when he goes to stay with his grandmother and befriends the neighbors.;Comédia,Drama,Romance;6.4
Pensamentos Mortais;Two detectives interrogate a hairdresser on two homicides she may or may not have been involved in.;Mistério,Suspense;5.7
Stephane;Um homem começa a acreditar que sua esposa o está traindo.;Drama,Suspense;7.4
Caminhos Diferentes;Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in their relationship.;Ação,Policial,Drama;8.0
Sem Perdão;A Chicago detective, seeking to avenge his partner's death, travels to New Orleans, where he unexpectedly becomes involved in a cat and mouse game of survival.;Policial,Drama,Romance;5.7
A Liga Extraordinária;Na Era Vitoriana de uma linha temporal alternativa, um grupo de heróis vindos das páginas da literatura são reunidos pela Coroa para deter os planos de um terrorista que usa tecnologia avançada para ameaçar a ordem do Império Britânico.;Ação,Aventura,Fantasia;5.8
Festim Diabólico;A excitação de cometer o crime perfeito leva dois homens a matar e, em seguida, a organizar uma festa no local do crime convidando o pai e a noiva da vítima e ainda um professor de filosofia que os inspirou inadvertidamente.;Policial,Drama,Mistério;7.9
